"ProductID,ProductName,Category,Stock,Price"
"P1001,Wireless Mouse,Electronics,45,24.99"
"P1002,Bluetooth Headphones,Electronics,32,59.99"
"P1003,Coffee Maker,Home Appliances,18,49.95"
"P1004,Yoga Mat,Sports & Fitness,67,29.99"
"P1005,Stainless Steel Water Bottle,Home & Kitchen,89,19.99"
"P1006,LED Desk Lamp,Home & Kitchen,54,34.50"
"P1007,Wireless Keyboard,Electronics,29,39.99"
"P1008,Non-Stick Frying Pan,Home & Kitchen,76,22.95"
"P1009,Running Shoes,Sports & Fitness,43,79.99"
"P1010,Cotton T-Shirt,Clothing,112,14.99"
"P1011,Smart Watch,Electronics,21,129.99"
"P1012,Air Fryer,Home Appliances,15,89.95"
"P1013,Backpack,Accessories,58,45.00"
"P1014,Wooden Cutting Board,Home & Kitchen,92,24.99"
"P1015,Resistance Bands,Sports & Fitness,64,18.99"
"P1016,Ceramic Mug Set,Home & Kitchen,120,16.50"
"P1017,External Hard Drive,Electronics,27,79.99"
"P1018,Memory Foam Pillow,Home & Kitchen,85,39.95"
"P1019,Yoga Blocks,Sports & Fitness,38,14.99"
"P1020,Graphic T-Shirt,Clothing,94,22.99"
"P1021,Desk Organizer,Office Supplies,73,12.99"
"P1022,Digital Scale,Home Appliances,42,29.95"
"P1023,Wireless Earbuds,Electronics,36,49.99"
"P1024,Kitchen Knife Set,Home & Kitchen,29,59.99"
"P1025,Dumbbell Set,Sports & Fitness,14,89.99"
"P1026,Throw Blanket,Home & Kitchen,68,34.99"
"P1027,Laptop Stand,Electronics,51,25.99"
"P1028,Hand Mixer,Home Appliances,47,39.95"
"P1029,Jeans,Clothing,82,49.99"
"P1030,Notebook Set,Office Supplies,95,9.99"
"P1031,Smartphone Holder,Electronics,63,8.99"
"P1032,Bath Towel Set,Home & Kitchen,107,29.99"
"P1033,Jump Rope,Sports & Fitness,59,12.99"
"P1034,Glass Food Storage,Home & Kitchen,88,19.95"
"P1035,Portable Speaker,Electronics,31,45.99"
"P1036,Cozy Slippers,Clothing,76,24.95"
"P1037,Stainless Steel Straw Set,Home & Kitchen,142,7.99"
"P1038,Fitness Tracker,Electronics,28,59.95"
"P1039,Desk Chair,Office Furniture,19,149.99"
"P1040,Wireless Charger,Electronics,74,19.99"
"P1041,Blender,Home Appliances,23,54.95"
"P1042,Baseball Cap,Clothing,115,17.99"
"P1043,Acrylic Paint Set,Arts & Crafts,37,29.99"
"P1044,Vegetable Chopper,Home & Kitchen,62,15.99"
"P1045,Ankle Weights,Sports & Fitness,41,22.99"
"P1046,USB Flash Drive,Electronics,89,12.99"
"P1047,Wall Clock,Home Decor,58,24.95"
"P1048,Hoodie,Clothing,67,39.99"
"P1049,Measuring Cup Set,Home & Kitchen,94,14.99"
"P1050,Whiteboard,Office Supplies,32,29.99"
"P1051,Electric Toothbrush,Personal Care,76,49.95"
"P1052,Canvas Tote Bag,Accessories,123,15.99"
"P1053,Salad Spinner,Home & Kitchen,45,22.50"
"P1054,Jumping Jack Trainer,Sports & Fitness,29,34.99"
"P1055,HDMI Cable,Electronics,187,8.99"
"P1056,Cotton Socks,Clothing,156,9.99"
"P1057,Paper Shredder,Office Supplies,18,69.99"
"P1058,Bamboo Cutting Board,Home & Kitchen,72,32.99"
"P1059,Waterproof Speaker,Electronics,24,79.99"
"P1060,Leggings,Clothing,98,29.99"
"P1061,French Press,Home & Kitchen,53,34.95"
"P1062,Adjustable Dumbbell,Sports & Fitness,12,119.99"
"P1063,Desk Lamp,Office Supplies,67,27.99"
"P1064,Hand Sanitizer,Personal Care,245,4.99"
"P1065,Silk Pillowcase,Home & Kitchen,84,29.99"
"P1066,Wireless Presenter,Electronics,39,24.95"
"P1067,Chef's Knife,Home & Kitchen,47,42.99"
"P1068,Yoga Towel,Sports & Fitness,58,19.99"
"P1069,Denim Jacket,Clothing,42,59.99"
"P1070,Stapler,Office Supplies,92,7.99"
"P1071,Electric Kettle,Home Appliances,64,35.99"
"P1072,Phone Case,Accessories,178,14.99"
"P1073,Mixing Bowl Set,Home & Kitchen,76,24.95"
"P1074,Resistance Tube,Sports & Fitness,47,16.99"
"P1075,Reading Glasses,Health,113,12.99"
"P1076,Smart Bulb,Electronics,82,19.95"
"P1077,Scarf,Clothing,87,18.99"
"P1078,Letter Tray,Office Supplies,59,11.99"
"P1079,Food Processor,Home Appliances,27,79.99"
"P1080,Gym Bag,Sports & Fitness,63,29.99"
"P1081,Ceramic Planter,Home Decor,94,22.99"
"P1082,Screen Protector,Electronics,156,9.99"
"P1083,Oversized T-Shirt,Clothing,72,24.99"
"P1084,Calculator,Office Supplies,48,15.99"
"P1085,Slow Cooker,Home Appliances,39,49.95"
"P1086,Exercise Mat,Sports & Fitness,84,34.99"
"P1087,Wall Art,Home Decor,26,59.99"
"P1088,Car Phone Holder,Electronics,93,12.99"
"P1089,Casual Dress,Clothing,57,39.99"
"P1090,Binder Clips,Office Supplies,215,5.99"
"P1091,Toaster,Home Appliances,42,39.99"
"P1092,Knee Pads,Sports & Fitness,38,19.99"
"P1093,Decorative Pillow,Home Decor,68,27.99"
"P1094,Power Bank,Electronics,59,29.99"
"P1095,Flannel Shirt,Clothing,64,34.99"
"P1096,File Organizer,Office Supplies,73,18.99"
"P1097,Handheld Vacuum,Home Appliances,31,59.99"
"P1098,Push-Up Bars,Sports & Fitness,47,24.99"
"P1099,Table Lamp,Home Decor,52,42.99"
"P1100,Wireless Gaming Mouse,Electronics,28,69.99"
"P1101,Winter Hat,Clothing,86,19.99"
"P1102,Sticky Notes,Office Supplies,184,3.99"
"P1103,Electric Can Opener,Home Appliances,29,24.95"
"P1104,Weightlifting Gloves,Sports & Fitness,35,22.99"
"P1105,Candle Set,Home Decor,92,16.99"
"P1106,Bluetooth Speaker,Electronics,43,89.99"
"P1107,Chino Pants,Clothing,58,49.99"
"P1108,Highlighter Set,Office Supplies,127,6.99"
"P1109,Rice Cooker,Home Appliances,36,45.99"
"P1110,Foam Roller,Sports & Fitness,52,29.99"
"P1111,Photo Frame,Home Decor,79,14.99"
"P1112,USB Hub,Electronics,64,15.99"
"P1113,V-Neck Sweater,Clothing,47,44.99"
"P1114,Desk Calendar,Office Supplies,68,12.99"
"P1115,Stand Mixer,Home Appliances,14,129.99"
"P1116,Medicine Ball,Sports & Fitness,23,39.99"
"P1117,Artificial Plant,Home Decor,85,34.99"
"P1118,Keyboard Cover,Electronics,92,11.99"
"P1119,Polo Shirt,Clothing,104,29.99"
"P1120,Index Cards,Office Supplies,156,4.99"
"P1121,Electric Griddle,Home Appliances,27,39.99"
"P1122,Climbing Rope,Sports & Fitness,9,89.99"
"P1123,Wall Mirror,Home Decor,42,49.99"
"P1124,Mouse Pad,Electronics,178,7.99"
"P1125,Cargo Shorts,Clothing,73,34.99"
"P1126,Paper Clips,Office Supplies,298,2.99"
"P1127,Food Scale,Home Appliances,58,22.99"
"P1128,Boxing Gloves,Sports & Fitness,19,49.99"
"P1129,Throw Pillow,Home Decor,94,19.99"
"P1130,Webcam,Electronics,47,59.99"
"P1131,Tank Top,Clothing,126,12.99"
"P1132,Binder,Office Supplies,82,8.99"
"P1133,Immersion Blender,Home Appliances,36,29.99"
"P1134,Ab Wheel,Sports & Fitness,43,16.99"
"P1135,Area Rug,Home Decor,21,99.99"
"P1136,Microphone,Electronics,28,49.99"
"P1137,Cardigan,Clothing,67,39.99"
"P1138,Label Maker,Office Supplies,29,34.99"
"P1139,Panini Press,Home Appliances,24,49.95"
"P1140,Punching Bag,Sports & Fitness,8,129.99"
"P1141,Floor Lamp,Home Decor,37,79.99"
"P1142,VR Headset,Electronics,16,199.99"
"P1143,Swim Trunks,Clothing,58,29.99"
"P1144,Stapler Remover,Office Supplies,95,3.99"
"P1145,Electric Skillet,Home Appliances,31,59.99"
"P1146,Yoga Wheel,Sports & Fitness,27,24.99"
"P1147,Bookends,Home Decor,64,12.99"
"P1148,Graphics Tablet,Electronics,19,89.99"
"P1149,Long Sleeve Tee,Clothing,88,19.99"
"P1150,Correction Tape,Office Supplies,143,4.99"
"P1151,Coffee Grinder,Home Appliances,42,34.99"
"P1152,Ankle Brace,Sports & Fitness,76,14.99"
"P1153,Wall Shelf,Home Decor,53,29.99"
"P1154,Noise Cancelling Headphones,Electronics,23,149.99"
"P1155,Windbreaker Jacket,Clothing,47,59.99"
"P1156,Paper Cutter,Office Supplies,38,19.99"
"P1157,Hot Water Dispenser,Home Appliances,29,45.99"
"P1158,Kettlebell,Sports & Fitness,17,49.99"
