v1,v2
ham,Happy birthday! Have a great day.
spam,URGENT! Your account is compromised. Act now!
spam,You've been chosen for a $500 Walmart gift card.
spam,This is not a scam. You've won big!
spam,Act fast! Offer expires tonight.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Happy birthday! Have a great day.
spam,Act fast! Offer expires tonight.
spam,Claim your reward by clicking this link.
spam,Exclusive deal just for you. Limited time offer!
ham,"Hey, are you coming to the meeting tomorrow?"
ham,"Hey, are you coming to the meeting tomorrow?"
ham,Good luck with your presentation!
ham,I'll be there in 10 minutes.
ham,Your order has been shipped.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,"Hey, are you coming to the meeting tomorrow?"
ham,"Hey, are you coming to the meeting tomorrow?"
ham,Let's catch up over coffee sometime.
ham,"Hey, are you coming to the meeting tomorrow?"
ham,I'll be there in 10 minutes.
ham,See you at the party tonight!
spam,Win cash prizes now! Text WIN to 12345.
spam,Win cash prizes now! Text WIN to 12345.
ham,Let's catch up over coffee sometime.
spam,Win cash prizes now! Text WIN to 12345.
spam,You've been chosen for a $500 Walmart gift card.
ham,I'll be there in 10 minutes.
ham,Can you send me the file?
spam,Exclusive deal just for you. Limited time offer!
ham,Happy birthday! Have a great day.
ham,See you at the party tonight!
ham,I'll be there in 10 minutes.
spam,URGENT! Your account is compromised. Act now!
ham,Your order has been shipped.
ham,Don't forget to bring your notebook.
spam,Exclusive deal just for you. Limited time offer!
ham,I'll be there in 10 minutes.
ham,I'll be there in 10 minutes.
ham,Let's catch up over coffee sometime.
ham,See you at the party tonight!
spam,Get your free ringtone! Click the link.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Exclusive deal just for you. Limited time offer!
ham,Can you help me with the assignment?
ham,Don't forget to bring your notebook.
spam,Get your free ringtone! Click the link.
spam,URGENT! Your account is compromised. Act now!
ham,Can you send me the file?
ham,Can you send me the file?
ham,Happy birthday! Have a great day.
spam,Act fast! Offer expires tonight.
ham,Can you send me the file?
ham,Can you help me with the assignment?
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,This is not a scam. You've won big!
ham,Happy birthday! Have a great day.
ham,I'll be there in 10 minutes.
ham,Good luck with your presentation!
spam,URGENT! Your account is compromised. Act now!
spam,You've been chosen for a $500 Walmart gift card.
ham,Don't forget to bring your notebook.
spam,Act fast! Offer expires tonight.
spam,Get your free ringtone! Click the link.
spam,Win cash prizes now! Text WIN to 12345.
spam,Exclusive deal just for you. Limited time offer!
spam,Win cash prizes now! Text WIN to 12345.
ham,Happy birthday! Have a great day.
spam,Act fast! Offer expires tonight.
spam,This is not a scam. You've won big!
spam,URGENT! Your account is compromised. Act now!
spam,This is not a scam. You've won big!
spam,Claim your reward by clicking this link.
ham,See you at the party tonight!
spam,You've been chosen for a $500 Walmart gift card.
ham,Don't forget to bring your notebook.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Win cash prizes now! Text WIN to 12345.
ham,Happy birthday! Have a great day.
spam,Claim your reward by clicking this link.
spam,Get your free ringtone! Click the link.
spam,This is not a scam. You've won big!
spam,Exclusive deal just for you. Limited time offer!
spam,This is not a scam. You've won big!
spam,You've been chosen for a $500 Walmart gift card.
ham,Don't forget to bring your notebook.
ham,"Hey, are you coming to the meeting tomorrow?"
ham,Your order has been shipped.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Win cash prizes now! Text WIN to 12345.
ham,Can you help me with the assignment?
spam,Act fast! Offer expires tonight.
ham,See you at the party tonight!
spam,This is not a scam. You've won big!
ham,Let's catch up over coffee sometime.
spam,You have been selected for a free cruise. Call now!
spam,Win cash prizes now! Text WIN to 12345.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,I'll be there in 10 minutes.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Good luck with your presentation!
spam,You have been selected for a free cruise. Call now!
spam,URGENT! Your account is compromised. Act now!
ham,I'll be there in 10 minutes.
spam,Win cash prizes now! Text WIN to 12345.
spam,Win cash prizes now! Text WIN to 12345.
ham,Don't forget to bring your notebook.
